ENST00000253003	NM_175573.2	ADRM1
ENST00000216194	NM_000026.2	ADSL
ENST00000332972	NM_199165.1	ADSSL1
ENST00000366535	NM_001126.3	ADSS
ENST00000223357	NM_001129.4	AEBP1
ENST00000398864	NM_001114176.1	AEBP2
ENST00000332810	NM_022767.3	AEN
ENST00000221561	NM_198969.1	AES
ENST00000296721	NM_152406.2	AFAP1L1
ENST00000369271	NM_001001936.1	AFAP1L2
ENST00000420658	NM_001134647.1	AFAP1
ENST00000395146	NM_001166693.1	AFF1
ENST00000370460	NM_002025.3	AFF2
ENST00000356421	NM_001025108.1	AFF3
ENST00000265343	NM_014423.3	AFF4
ENST00000269143	NM_006796.2	AFG3L2
ENST00000409257	NM_001010982.4	AFMID
ENST00000226355	NM_001133.2	AFM
ENST00000395792	NM_001134.1	AFP
ENST00000238855	NM_203437.3	AFTPH
ENST00000264595	NM_000027.3	AGA
ENST00000304032	NM_001037131.2	AGAP1
ENST00000547588	NM_001122772.2	AGAP2
ENST00000397238	NM_031946.5	AGAP3
ENST00000448048	NM_133446.2	AGAP4
ENST00000374094	NM_001144000.1	AGAP5
ENST00000412531	NM_001077665.2	AGAP6
ENST00000374095	NM_001077685.2	AGAP7
ENST00000425119	NM_001077686.2	AGAP8
ENST00000456984	NM_001190810.1	AGAP9
ENST00000441037	NM_152336.2	AGBL1
ENST00000525123	NM_024783.3	AGBL2
ENST00000436302	NM_178563.3	AGBL3
ENST00000371839	NM_032785.3	AGBL4
ENST00000360131	NM_021831.5	AGBL5
ENST00000375076	NM_001136.4	AGER
ENST00000409979	NM_001135187.1	AGFG1
ENST00000300176	NM_006076.4	AGFG2
ENST00000312916	NM_018046.4	AGGF1
ENST00000355413	NM_018238.3	AGK
ENST00000361915	NM_000642.2	AGL
ENST00000375826	NM_024758.4	AGMAT
ENST00000342526	NM_001004320.1	AGMO
ENST00000220592	NM_012154.3	AGO2
ENST00000375107	NM_006411.3	AGPAT1
ENST00000371696	NM_006412.3	AGPAT2
ENST00000291572	NM_020132.4	AGPAT3
ENST00000320285	NM_020133.2	AGPAT4
ENST00000285518	NM_018361.3	AGPAT5
ENST00000396987	NM_178819.3	AGPAT6
ENST00000264409	NM_032717.4	AGPAT9
ENST00000388988	NM_001013619.2	AGPHD1
ENST00000264167	NM_003659.3	AGPS
ENST00000419304	NM_006408.3	AGR2
ENST00000310398	NM_176813.3	AGR3
ENST00000379370	NM_198576.3	AGRN
ENST00000290953	NM_001138.1	AGRP
ENST00000366667	NM_000029.3	AGT
ENST00000376083	NM_015239.2	AGTPBP1
ENST00000418473	NM_004835.4	AGTR1
ENST00000371906	NM_000686.4	AGTR2
ENST00000314340	NM_020350.4	AGTRAP
ENST00000296486	NM_031279.3	AGXT2L1
ENST00000308158	NM_153373.3	AGXT2L2
ENST00000231420	NM_031900.3	AGXT2
ENST00000307503	NM_000030.2	AGXT
ENST00000326225	NM_015446.4	AHCTF1
ENST00000369799	NM_006621.5	AHCYL1
ENST00000325006	NM_015328.3	AHCYL2
ENST00000217426	NM_000687.2	AHCY
ENST00000374011	NM_001029882.2	AHDC1
ENST00000367800	NM_001134830.1	AHI1
ENST00000333244	NM_138420.2	AHNAK2
ENST00000378024	NM_001620.2	AHNAK
ENST00000242057	NM_001621.4	AHR
ENST00000505113	NM_001242412.1	AHRR
ENST00000216479	NM_012111.2	AHSA1
ENST00000357022	NM_152392.3	AHSA2
ENST00000273784	NM_001622.2	AHSG
ENST00000302312	NM_016633.2	AHSP
ENST00000229335	NM_020661.2	AICDA
ENST00000340020	NM_022831.2	AIDA
ENST00000372309	NM_001185095.1	AIF1L
ENST00000376059	NM_001623.3	AIF1
ENST00000287295	NM_004208.3	AIFM1
ENST00000307864	NM_032797.5	AIFM2
ENST00000357847	NM_016108.2	AIG1
ENST00000527815	NM_001039775.3	AIM1L
ENST00000369066	NM_001624.2	AIM1
ENST00000368130	NM_004833.1	AIM2
ENST00000394701	NM_001142416.1	AIMP1
ENST00000223029	NM_006303.3	AIMP2
ENST00000381129	NM_014336.3	AIPL1
ENST00000279146	NM_003977.2	AIP
ENST00000291582	NM_000383.3	AIRE
ENST00000378191	NM_018836.3	AJAP1
ENST00000262713	NM_032876.4	AJUBA
ENST00000373176	NM_000476.2	AK1
ENST00000354858	NM_001625.3	AK2
ENST00000381809	NM_016282.3	AK3
ENST00000545314	NM_203464.2	AK4
ENST00000354567	NM_174858.2	AK5
ENST00000267584	NM_152327.3	AK7
ENST00000298545	NM_152572.2	AK8
ENST00000225737	NM_007202.3	AKAP10
ENST00000025301	NM_016248.3	AKAP11
ENST00000402676	NM_005100.3	AKAP12
ENST00000361243	NM_006738.5	AKAP13
ENST00000371431	NM_178813.5	AKAP14
ENST00000313871	NM_005088.2	AKAP17A
ENST00000337714	NM_003488.3	AKAP1
ENST00000545990	NM_006422.3	AKAP3
ENST00000358526	NM_003886.2	AKAP4
ENST00000394718	NM_004857.3	AKAP5
ENST00000280979	NM_004274.4	AKAP6
ENST00000431975	NM_016377.3	AKAP7
ENST00000397410	NM_014371.2	AKAP8L
ENST00000269701	NM_005858.3	AKAP8
ENST00000356239	NM_005751.4	AKAP9
ENST00000424296	NM_001145128.2	AKD1
ENST00000309377	NM_020642.3	AKIP1
ENST00000432648	NM_024595.2	AKIRIN1
ENST00000257787	NM_018064.3	AKIRIN2
ENST00000370001	NM_152763.4	AKNAD1
ENST00000307564	NM_030767.4	AKNA
ENST00000351829	NM_153326.2	AKR1A1
ENST00000359579	NM_020299.4	AKR1B10
ENST00000457545	NM_001080538.2	AKR1B15
ENST00000285930	NM_001628.2	AKR1B1
ENST00000380753	NM_205845.2	AKR1C2
ENST00000380554	NM_003739.5	AKR1C3
ENST00000263126	NM_001818.3	AKR1C4
ENST00000242375	NM_005989.3	AKR1D1
ENST00000298375	NM_001040177.2	AKR1E2
ENST00000235835	NM_003689.3	AKR7A2
ENST00000361640	NM_012067.2	AKR7A3
ENST00000407796	NM_001014431.1	AKT1
ENST00000344175	NM_001098633.3	AKT1S1
ENST00000392038	NM_001626.4	AKT2
ENST00000263826	NM_005465.4	AKT3
ENST00000394657	NM_022476.2	AKTIP
ENST00000409155	NM_000031.5	ALAD
ENST00000310271	NM_199166.2	ALAS1
ENST00000330807	NM_000032.4	ALAS2
ENST00000295897	NM_000477.5	ALB
ENST00000306107	NM_001627.3	ALCAM
ENST00000293350	NM_153329.3	ALDH16A1
ENST00000371224	NM_002860.3	ALDH18A1
ENST00000297785	NM_000689.4	ALDH1A1
ENST00000249750	NM_003888.3	ALDH1A2
ENST00000329841	NM_000693.2	ALDH1A3
ENST00000377698	NM_000692.4	ALDH1B1
ENST00000393434	NM_012190.3	ALDH1L1
ENST00000258494	NM_001034173.3	ALDH1L2
ENST00000261733	NM_000690.3	ALDH2
ENST00000457500	NM_001135168.1	ALDH3A1
ENST00000339618	NM_001031806.1	ALDH3A2
ENST00000342456	NM_001030010.1	ALDH3B1
ENST00000530069	NM_001031615.1	ALDH3B2
ENST00000375341	NM_003748.3	ALDH4A1
ENST00000348925	NM_170740.1	ALDH5A1
ENST00000553458	NM_005589.3	ALDH6A1
ENST00000409134	NM_001201377.1	ALDH7A1
ENST00000265605	NM_022568.3	ALDH8A1
ENST00000354775	NM_000696.3	ALDH9A1
ENST00000564595	NM_001243177.1	ALDOA
ENST00000374855	NM_000035.3	ALDOB
ENST00000226253	NM_005165.2	ALDOC
ENST00000308742	NM_001013620.3	ALG10B
ENST00000266483	NM_032834.3	ALG10
ENST00000521508	NM_001004127.2	ALG11
ENST00000330817	NM_024105.3	ALG12
ENST00000394780	NM_001099922.2	ALG13
ENST00000370205	NM_144988.3	ALG14
ENST00000340333	NM_001015050.2	ALG1L
ENST00000262374	NM_019109.4	ALG1
ENST00000476832	NM_033087.3	ALG2
ENST00000397676	NM_005787.5	ALG3
ENST00000239891	NM_013338.4	ALG5
ENST00000371108	NM_013339.3	ALG6
ENST00000299626	NM_024079.4	ALG8
ENST00000398006	NM_001077690.1	ALG9
ENST00000216489	NM_006020.2	ALKBH1
ENST00000343075	NM_001145375.1	ALKBH2
ENST00000302708	NM_139178.3	ALKBH3
ENST00000292566	NM_017621.3	ALKBH4
ENST00000399138	NM_017758.3	ALKBH5
ENST00000378875	NM_032878.3	ALKBH6
ENST00000245812	NM_032306.3	ALKBH7
ENST00000428149	NM_138775.2	ALKBH8
ENST00000389048	NM_004304.4	ALK
ENST00000252505	NM_018436.3	ALLC
ENST00000264448	NM_015120.4	ALMS1
ENST00000319144	NM_001139.2	ALOX12B
ENST00000251535	NM_000697.2	ALOX12
ENST00000380183	NM_001141.2	ALOX15B
ENST00000293761	NM_001140.3	ALOX15
ENST00000380490	NM_001204406.1	ALOX5AP
ENST00000374391	NM_000698.3	ALOX5
ENST00000318227	NM_001165960.1	ALOXE3
ENST00000295463	NM_001631.3	ALPI
ENST00000458497	NM_001102406.1	ALPK1
ENST00000361673	NM_052947.3	ALPK2
ENST00000258888	NM_020778.4	ALPK3
ENST00000374840	NM_000478.4	ALPL
ENST00000295453	NM_031313.2	ALPPL2
ENST00000392027	NM_001632.3	ALPP
ENST00000318962	NM_147129.3	ALS2CL
ENST00000439140	NM_001168221.1	ALS2CR11
ENST00000392257	NM_001127391.1	ALS2CR12
ENST00000402905	NM_001104586.1	ALS2CR8
ENST00000264276	NM_020919.3	ALS2
ENST00000316824	NM_006982.2	ALX1
ENST00000369792	NM_006492.2	ALX3
ENST00000329255	NM_021926.3	ALX4
ENST00000331204	NM_005782.3	ALYREF
ENST00000335606	NM_001167595.1	AMACR
ENST00000322937	NM_016519.5	AMBN
ENST00000265132	NM_001633.3	AMBP
ENST00000314845	NM_017749.3	AMBRA1
ENST00000368885	NM_001634.4	AMD1
ENST00000266736	NM_152435.2	AMDHD1
ENST00000413459	NM_001145815.1	AMDHD2
ENST00000380712	NM_182680.1	AMELX
ENST00000215479	NM_001143.1	AMELY
ENST00000330258	NM_152424.3	AMER1
ENST00000290649	NM_001144.5	AMFR
