Gene	Transcripts
ADAMTSL4	NM_019032.4
ADAMTSL5	NM_213604.2
ADAP1	NM_006869.2
ADAP2	NM_018404.2
ADAR	NM_001111.4
ADARB1	NM_015833.3
ADARB2	NM_018702.3
ADAT1	NM_012091.3
ADAT2	NM_182503.2
ADAT3	NM_138422.2
ADC	NM_052998.2
ADCK1	NM_020421.3
ADCK2	NM_052853.3
ADCK3	NM_020247.4
ADCK4	NM_024876.3
ADCK5	NM_174922.4
ADCY1	NM_021116.2
ADCY10	NM_018417.4
ADCY2	NM_020546.2
ADCY3	NM_004036.3
ADCY4	NM_001198592.1
ADCY5	NM_183357.2
ADCY6	NM_015270.3
ADCY7	NM_001114.3
ADCY8	NM_001115.2
ADCY9	NM_001116.3
ADCYAP1	NM_001117.4
ADCYAP1R1	NM_001199635.1
ADD1	NM_014189.3
ADD2	NM_001185054.1
ADD3	NM_016824.3
ADH1A	NM_000667.3
ADH1B	NM_000668.4
ADH1C	NM_000669.3
ADH4	NM_000670.3
ADH5	NM_000671.3
ADH6	NM_001102470.1
ADH7	NM_001166504.1
ADHFE1	NM_144650.2
ADI1	NM_018269.3
ADIG	NM_001018082.1
ADIPOQ	NM_004797.3
ADIPOR1	NM_015999.4
ADIPOR2	NM_024551.2
ADK	NM_006721.3
ADM	NM_001124.1
ADM2	NM_024866.5
ADNP	NM_181442.1
ADNP2	NM_014913.3
ADO	NM_032804.5
ADORA1	NM_001048230.1
ADORA2A	NM_000675.5
ADORA2B	NM_000676.2
ADORA3	NM_000677.3
ADPGK	NM_031284.4
ADPRH	NM_001125.2
ADPRHL1	NM_138430.3
ADPRHL2	NM_017825.2
ADRA1A	NM_000680.2
ADRA1B	NM_000679.3
ADRA1D	NM_000678.3
ADRA2A	NM_000681.3
ADRA2B	NM_000682.5
ADRA2C	NM_000683.3
ADRB1	NM_000684.2
ADRB2	NM_000024.5
ADRB3	NM_000025.2
ADRBK1	NM_001619.3
ADRBK2	NM_005160.3
ADRM1	NM_175573.2
ADSL	NM_000026.2
ADSS	NM_001126.3
ADSSL1	NM_199165.1
AEBP1	NM_001129.4
AEBP2	NM_001114176.1
AEN	NM_022767.3
AES	NM_198969.1
AFAP1	NM_001134647.1
AFAP1L1	NM_152406.2
AFAP1L2	NM_001001936.1
AFF1	NM_001166693.1
AFF2	NM_002025.3
AFF3	NM_001025108.1
AFF4	NM_014423.3
AFG3L2	NM_006796.2
AFM	NM_001133.2
AFMID	NM_001010982.4
AFP	NM_001134.1
AFTPH	NM_203437.3
AGA	NM_000027.3
AGAP1	NM_001037131.2
AGAP11	NM_133447
AGAP2	NM_001122772.2
AGAP3	NM_031946.5
AGAP4	NM_133446.2
AGAP5	NM_001144000.1
AGAP6	NM_001077665.2
AGAP7	NM_001077685.2
AGAP8	NM_001077686.2
AGAP9	NM_001190810.1
AGBL1	NM_152336.2
AGBL2	NM_024783.3
AGBL3	NM_178563.3
AGBL4	NM_032785.3
AGBL5	NM_021831.5
AGER	NM_001136.4
AGFG1	NM_001135187.1
AGFG2	NM_006076.4
AGGF1	NM_018046.4
AGK	NM_018238.3
AGL	NM_000642.2
AGMAT	NM_024758.4
AGMO	NM_001004320.1
AGO2	NM_012154.3
AGPAT1	NM_006411.3
AGPAT2	NM_006412.3
AGPAT3	NM_020132.4
AGPAT4	NM_020133.2
AGPAT5	NM_018361.3
AGPAT6	NM_178819.3
AGPAT9	NM_032717.4
AGPHD1	NM_001013619.2
AGPS	NM_003659.3
AGR2	NM_006408.3
AGR3	NM_176813.3
AGRN	NM_198576.3
AGRP	NM_001138.1
AGT	NM_000029.3
AGTPBP1	NM_015239.2
AGTR1	NM_004835.4
AGTR2	NM_000686.4
AGTRAP	NM_020350.4
AGXT	NM_000030.2
AGXT2	NM_031900.3
AGXT2L1	NM_031279.3
AGXT2L2	NM_153373.3
AHCTF1	NM_015446.4
AHCY	NM_000687.2
AHCYL1	NM_006621.5
AHCYL2	NM_015328.3
AHDC1	NM_001029882.2
AHI1	NM_001134830.1
AHNAK	NM_001620.2
AHNAK2	NM_138420.2
AHR	NM_001621.4
AHRR	NM_001242412.1
AHSA1	NM_012111.2
AHSA2	NM_152392.3
AHSG	NM_001622.2
AHSP	NM_016633.2
AICDA	NM_020661.2
AIDA	NM_022831.2
AIF1	NM_001623.3
AIF1L	NM_001185095.1
AIFM1	NM_004208.3
AIFM2	NM_032797.5
AIG1	NM_016108.2
AIM1	NM_001624.2
AIM1L	NM_001039775.3
AIM2	NM_004833.1
AIMP1	NM_001142416.1
AIMP2	NM_006303.3
AIP	NM_003977.2
AIPL1	NM_014336.3
AIRE	NM_000383.3
AJAP1	NM_018836.3
AJUBA	NM_032876.4
AK1	NM_000476.2
AK2	NM_001625.3
AK3	NM_016282.3
AK4	NM_203464.2
AK5	NM_174858.2
AK7	NM_152327.3
AK8	NM_152572.2
AKAP1	NM_003488.3
AKAP10	NM_007202.3
AKAP11	NM_016248.3
AKAP12	NM_005100.3
AKAP13	NM_006738.5
AKAP14	NM_178813.5
AKAP17A	NM_005088.2
AKAP3	NM_006422.3
AKAP4	NM_003886.2
AKAP5	NM_004857.3
AKAP6	NM_004274.4
AKAP7	NM_016377.3
AKAP8	NM_005858.3
AKAP8L	NM_014371.2
AKAP9	NM_005751.4
AKD1	NM_001145128.2
AKIP1	NM_020642.3
AKIRIN1	NM_024595.2
AKIRIN2	NM_018064.3
AKNA	NM_030767.4
AKNAD1	NM_152763.4
AKR1A1	NM_153326.2
AKR1B1	NM_001628.2
AKR1B10	NM_020299.4
AKR1B15	NM_001080538.2
AKR1C2	NM_205845.2
AKR1C3	NM_003739.5
AKR1C4	NM_001818.3
AKR1D1	NM_005989.3
AKR1E2	NM_001040177.2
AKR7A2	NM_003689.3
AKR7A3	NM_012067.2
AKT1	NM_001014431.1
AKT1S1	NM_001098633.3
AKT2	NM_001626.4
AKT3	NM_005465.4
AKTIP	NM_022476.2
ALAD	NM_000031.5
ALAS1	NM_199166.2
ALAS2	NM_000032.4
ALB	NM_000477.5
ALCAM	NM_001627.3
ALDH16A1	NM_153329.3
ALDH18A1	NM_002860.3
ALDH1A1	NM_000689.4
ALDH1A2	NM_003888.3
ALDH1A3	NM_000693.2
ALDH1B1	NM_000692.4
ALDH1L1	NM_012190.3
ALDH1L2	NM_001034173.3
ALDH2	NM_000690.3
ALDH3A1	NM_001135168.1
ALDH3A2	NM_001031806.1
ALDH3B1	NM_001030010.1
ALDH3B2	NM_001031615.1
ALDH4A1	NM_003748.3
ALDH5A1	NM_170740.1
ALDH6A1	NM_005589.3
ALDH7A1	NM_001201377.1
ALDH8A1	NM_022568.3
ALDH9A1	NM_000696.3
ALDOA	NM_001243177.1
ALDOB	NM_000035.3
ALDOC	NM_005165.2
ALG1	NM_019109.4
ALG10	NM_032834.3
ALG10B	NM_001013620.3
ALG11	NM_001004127.2
ALG12	NM_024105.3
ALG13	NM_001099922.2
ALG14	NM_144988.3
ALG1L	NM_001015050.2
ALG1L2	NM_001136152
ALG2	NM_033087.3
ALG3	NM_005787.5
ALG5	NM_013338.4
ALG6	NM_013339.3
ALG8	NM_024079.4
ALG9	NM_001077690.1
ALK	NM_004304.4
ALKBH1	NM_006020.2
ALKBH2	NM_001145375.1
ALKBH3	NM_139178.3
ALKBH4	NM_017621.3
ALKBH5	NM_017758.3
ALKBH6	NM_032878.3
ALKBH7	NM_032306.3
ALKBH8	NM_138775.2
ALLC	NM_018436.3
ALMS1	NM_015120.4
ALOX12	NM_000697.2
ALOX12B	NM_001139.2
ALOX15	NM_001140.3
ALOX15B	NM_001141.2
ALOX5	NM_000698.3
ALOX5AP	NM_001204406.1
ALOXE3	NM_001165960.1
ALPI	NM_001631.3
ALPK1	NM_001102406.1
ALPK2	NM_052947.3
ALPK3	NM_020778.4
